symbol;RowNumber;open;high;low;close;volume;Target
AAPL;1035;0.1539600296076980014;0.1404160475482912332;0.1783882783882783882;0.1458823353158848821;0.02509639550399;0.1434478419152346851
AAPL;1036;0.1554404145077720207;0.1419019316493313521;0.1820512820512820512;0.1434478419152346851;0.01925181261750;0.1441969168077424380
AAPL;1037;0.1561806069578090303;0.1426448736998514115;0.1815018315018315018;0.1441969168077424380;0.01942509257515;0.1455077978696310057
AAPL;1038;0.1595114729829755736;0.1448736998514115898;0.1838827838827838827;0.1455077978696310057;0.01507112664718;0.1488861256348409714
AAPL;1039;0.1609918578830495928;0.1456166419019316493;0.1857142857142857142;0.1488861256348409714;0.01771071252172;0.1509385908403122144
AAPL;1040;0.1606217616580310880;0.1504457652303120356;0.1884615384615384615;0.1509385908403122144;0.04089134118687;0.1509385908403122144
AAPL;1041;0.1624722427831236121;0.1500742942050520059;0.1886446886446886446;0.1509385908403122144;0.01527715242359;0.1509385908403122144
AAPL;1042;0.1639526276831976313;0.1494873699851411589;0.1879120879120879120;0.1509385908403122144;0.01671455742661;0.1516876657328199673
AAPL;1043;0.1595114729829755736;0.1480312035661218424;0.1855311355311355311;0.1516876657328199673;0.01448593157761;0.1494404410552967085
AAPL;1044;0.1595854922279792746;0.1448774145616641901;0.1849816849816849816;0.1494404410552967085;0.01315767930382;0.1490659036090428321
AAPL;1045;0.1606217616580310880;0.1467310549777117384;0.1879120879120879120;0.1490659036090428321;0.00703980527153;0.1494404410552967085
AAPL;1046;0.1654330125832716506;0.1508172362555720653;0.1868131868131868131;0.1494404410552967085;0.01158205965742;0.1543094278565971025
AAPL;1047;0.1666728349370836417;0.1511292719167904903;0.1908424908424908424;0.1543094278565971025;0.00793717714669;0.1558075776416126084
AAPL;1048;0.1632124352331606217;0.1523031203566121842;0.1901098901098901098;0.1558075776416126084;0.00688494483693;0.1526240093484546584
AAPL;1049;0.1672834937083641746;0.1523031203566121842;0.1913919413919413919;0.1526240093484546584;0.00737367618205;0.1563693838109934231
AAPL;1050;0.1639526276831976313;0.1530460624071322436;0.1915750915750915750;0.1563693838109934231;0.01329985073364;0.1528112780715815967
AAPL;1051;0.1695040710584752035;0.1530460624071322436;0.1904761904761904761;0.1528112780715815967;0.00791602880540;0.1589911459347705583
AAPL;1052;0.1646928201332346410;0.1541604754829123328;0.1908424908424908424;0.1589911459347705583;0.00881203627145;0.1539311450358806873
AAPL;1053;0.1598815692079940784;0.1482132243684992570;0.1868131868131868131;0.1539311450358806873;0.01131791005269;0.1479422912702812027
AAPL;1054;0.1576609918578830495;0.1430163447251114413;0.1829670329670329670;0.1479422912702812027;0.07852815731091;0.1471932163777734497
AAPL;1055;0.1617320503330866025;0.1456203566121842496;0.1846153846153846153;0.1471932163777734497;0.01069041830054;0.1513131282865660908
AAPL;1056;0.1672834937083641746;0.1515601783060921248;0.1901098901098901098;0.1513131282865660908;0.00969385388269;0.1565566525341203613
AAPL;1057;0.1630273871206513693;0.1508172362555720653;0.1857142857142857142;0.1565566525341203613;0.01474162184582;0.1528337503183568293
AAPL;1058;0.1561806069578090303;0.1478454680534918276;0.1842490842490842490;0.1528337503183568293;0.00794932038781;0.1453205291465040674
AAPL;1059;0.1587712805329385640;0.1467310549777117384;0.1824175824175824175;0.1453205291465040674;0.01563571913911;0.1486913661627889556
AAPL;1060;0.1643227239082161361;0.1485884101040118870;0.1875457875457875457;0.1486913661627889556;0.00616631055588;0.1539348904103432261
AAPL;1061;0.1574759437453737971;0.1508172362555720653;0.1842490842490842490;0.1539348904103432261;0.01219167765016;0.1471932163777734497
AAPL;1062;0.1617320503330866025;0.1474739970282317979;0.1857142857142857142;0.1471932163777734497;0.01182601600724;0.1501895159478044614
AAPL;1063;0.1639489267209474463;0.1478454680534918276;0.1886446886446886446;0.1501895159478044614;0.01118651745488;0.1528112780715815967
AAPL;1064;0.1646928201332346410;0.1508172362555720653;0.1915750915750915750;0.1528112780715815967;0.00690404656455;0.1537476216872162878
AAPL;1065;0.1606217616580310880;0.1482169390787518573;0.1879120879120879120;0.1537476216872162878;0.00502102554446;0.1505640533940583379
AAPL;1066;0.1646928201332346410;0.1526745913818722139;0.1882783882783882783;0.1505640533940583379;0.01135829656250;0.1535603529640893496
AAPL;1067;0.1709844559585492227;0.1545319465081723625;0.1879120879120879120;0.1535603529640893496;0.01967177774321;0.1603020269966591259
AAPL;1068;0.1709844559585492227;0.1556463595839524517;0.1967032967032967032;0.1603020269966591259;0.00497777377551;0.1614256393354207553
AAPL;1069;0.1733012583271650629;0.1601040118870728083;0.1992673992673992673;0.1614256393354207553;0.01323490485975;0.1628376455077978696
AAPL;1070;0.1672834937083641746;0.1571322436849925705;0.1952380952380952380;0.1628376455077978696;0.00607175700419;0.1554330401953587319
AAPL;1071;0.1654330125832716506;0.1515601783060921248;0.1908424908424908424;0.1554330401953587319;0.00855197989406;0.1539348904103432261
AAPL;1072;0.1676535899333826794;0.1541604754829123328;0.1919413919413919413;0.1539348904103432261;0.01612608777516;0.1569311899803742378
AAPL;1073;0.1765358993338267949;0.1628900445765230312;0.1956043956043956043;0.1569311899803742378;0.01733208899222;0.1655455512442133964
AAPL;1074;0.1769059955588452997;0.1604754829123328380;0.2010989010989010989;0.1655455512442133964;0.01283813468901;0.1662983715111836881
AAPL;1075;0.1754256106587712805;0.1645616641901931649;0.2032967032967032967;0.1662983715111836881;0.01678400585058;0.1647964763517056435
AAPL;1076;0.1702442635085122131;0.1604754829123328380;0.1970695970695970695;0.1647964763517056435;0.01495133152685;0.1599274895504052495
AAPL;1077;0.1683937823834196891;0.1560178306092124814;0.1952380952380952380;0.1599274895504052495;0.08322636365869;0.1524367406253277202
AAPL;1078;0.1646928201332346410;0.1511887072808320950;0.1897435897435897435;0.1524367406253277202;0.02130129154966;0.1539348904103432261
AAPL;1079;0.1680236861584011843;0.1549034175334323922;0.1926739926739926739;0.1539348904103432261;0.01847123416262;0.1569311899803742378
AAPL;1080;0.1718985936343449296;0.1593610698365527488;0.1930402930402930402;0.1569311899803742378;0.01801756813176;0.1603020269966591259
AAPL;1081;0.1706143597335307179;0.1552748885586924219;0.1963369963369963369;0.1603020269966591259;0.01629773044187;0.1611335001273427317
AAPL;1082;0.1780162842339008142;0.1619613670133729569;0.1992673992673992673;0.1611335001273427317;0.02055482332266;0.1681673133679905316
